"seen_total","question_6_pre","question_2_pre","question_4_pre","question_1_pre","question_3_pre","question_5_pre","engagement","survey_type","quiz_answer","engagement_1","engagement_3","engagement_2","question_2_post","question_3_post","question_5_post","question_6_post","question_1_post","question_4_post","demo_gender","demo_age","demo_asked","demo_school","demo_media","last.seen"
5,"1","1","1","1","","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:39:05"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:37:36"
1,"","1","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:36:48"
6,"5","5","5","5","4","7",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 17:36:40"
4,"7","7","7","7","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:34:12"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:34:07"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:33:22"
6,"5","5","5","6","5","4",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 17:31:29"
4,"","7","7","","7","7",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:30:16"
6,"7","7","7","2","7","7",1,"continuous","","No","","Yes","","","","","","","","",NA,"","","2021-05-10 17:29:56"
0,"1","1","1","1","1","1",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 17:29:32"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:29:03"
6,"2","1","4","1","6","1",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 17:28:55"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:27:36"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:24:56"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:21:24"
6,"1","1","1","1","1","1",1,"days","A","ok","No","No","1","1","1","1","1","1","Male","Over 65",1,"C","D","2021-05-10 17:20:06"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:19:57"
6,"1","1","1","1","1","2",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 17:17:33"
3,"6","6","6","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:16:51"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:15:29"
6,"7","4","1","7","1","2",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 17:10:47"
5,"1","1","1","1","5","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:09:47"
2,"7","","","7","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:08:51"
1,"6","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:07:07"
2,"","","1","","","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:03:30"
4,"7","7","6","","","7",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 17:01:56"
6,"3","1","2","4","1","2",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 17:01:14"
6,"1","1","1","1","1","1",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 16:56:14"
6,"1","1","1","7","1","4",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 16:55:52"
6,"3","1","4","3","3","2",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 16:55:23"
5,"7","7","1","7","1","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:55:20"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:53:45"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:53:30"
6,"2","1","2","1","7","",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 16:52:55"
3,"7","","6","","7","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:52:39"
0,"1","1","1","1","1","1",1,"continuous","A","Yes","No","All the news is fake I don’t listen to any news","","1","1","1","1","1","","",NA,"","","2021-05-10 16:52:35"
0,"5","7","7","7","7","7",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 16:51:53"
6,"7","7","7","7","7","7",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 16:51:44"
6,"4","4","6","1","5","4",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 16:50:45"
2,"7","7","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:48:25"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:48:14"
3,"7","7","7","7","5","7",1,"continuous","C","Yes","Yes","Yes","","7","","","7","7","","",NA,"","","2021-05-10 16:43:36"
2,"","","","5","","3",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:40:18"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:40:14"
6,"7","7","7","7","7","5",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 16:39:57"
6,"1","1","1","1","3","1",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 16:38:39"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:38:38"
2,"1","4","1","4","1","6",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:37:56"
5,"6","5","5","2","","6",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:37:47"
6,"6","6","6","1","6","1",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 16:37:05"
6,"1","1","1","1","1","1",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 16:35:30"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:34:43"
6,"4","1","1","7","1","1",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 16:33:48"
6,"5","1","6","7","7","3",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 16:32:56"
0,"7","1","7","7","1","1",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 16:32:46"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:31:59"
6,"5","4","1","5","1","1",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 16:30:07"
1,"","","","","1","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:29:02"
4,"7","7","1","7","7","7",1,"continuous","B","Yes","Yes","No","https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=vrct4UXrHO0AX_I7Hdq&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=9409f7384e79e3e233ab979d6fb08964&oe=60BE8049","7","7","1","","","","",NA,"","","2021-05-10 16:28:06"
5,"2","","2","6","2","3",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:26:21"
6,"1","1","4","1","1","5",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 16:25:42"
6,"5","6","2","6","3","4",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 16:24:44"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:23:36"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:20:53"
6,"4","6","4","5","5","4",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 16:19:54"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:17:55"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:17:53"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:15:15"
0,"Let me put like this I have always been American and I will always be proud to be a American. And I like the way Biden and Antifa Harris and Obama and Hillary Clinton and Democratics and Radicals and left side and others are doing they are trying to destory America.They may be a left side but the ride side is stronger we have God on our side. And we have Donald Trump I will always stand with him.","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:14:45"
3,"6","","","7","","7",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:11:16"
0,"3","","1","6","1","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:10:00"
