"seen_total","last.seen","survey_type","engagement","engagement_1","engagement_2","engagement_3","quiz_answer","demo_gender","demo_age","demo_asked","demo_school","demo_media","question_2_pre","question_6_pre","question_4_pre","question_1_pre","question_3_pre","question_5_pre","question_2_post","question_3_post","question_6_post","question_5_post","question_1_post","question_4_post","finished_post"
6,"2021-05-11 16:54:15","days",1,"Stop sending","Stop2quit","","Stop2quit","","",NA,"","","6","6","6","1","6","1","","","","","","",FALSE
6,"2021-05-11 16:53:12","continuous",1,"","","","","","",NA,"","","2","2","1","1","1","1","","","","","","",FALSE
0,"2021-05-11 16:53:09","continuous",1,"Yes","No","Yes","A","","",NA,"","","1","1","1","1","1","1","","","","","","",FALSE
NA,"2021-05-11 16:52:01","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
0,"2021-05-11 16:50:58","continuous",1,"Yes","Yes","No","A","","",NA,"","","1","1","1","1","1","1","","","","","","",FALSE
NA,"2021-05-11 16:49:25","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-11 16:48:11","days",0,"","","","Stop","","",NA,"","","1","1","4","1","1","5","","","","","","",FALSE
1,"2021-05-11 16:47:57","",NA,"","","","","","",NA,"","","","","","","1","","","","","","","",FALSE
0,"2021-05-11 16:47:38","continuous",0,"","","","C","","",NA,"","","1","2","1","7","1","1","","","","","","",FALSE
0,"2021-05-11 16:46:42","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
NA,"2021-05-11 16:44:27","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
NA,"2021-05-11 16:43:53","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
NA,"2021-05-11 16:43:33","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-11 16:42:53","continuous",0,"","","","","","",NA,"","","1","2","1","2","1","2","","","","","","",FALSE
0,"2021-05-11 16:40:17","continuous",0,"","","","A","","",NA,"","","1","5","4","1","7","5","","","","","","",FALSE
0,"2021-05-11 16:39:10","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
0,"2021-05-11 16:39:02","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
0,"2021-05-11 16:37:20","continuous",1,"Yes","Yes","Yes","B","","",NA,"","","4","7","4","7","4","6","","","","","","",FALSE
0,"2021-05-11 16:35:09","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
