seen_total,last seen,survey_type,engagement,engagement_1,engagement_2,engagement_3,quiz_answer,demo_gender,demo_age,demo_asked,demo_school,demo_media,question_2_pre,question_6_pre,question_4_pre,question_1_pre,question_3_pre,question_5_pre,question_2_post,question_3_post,question_6_post,question_5_post,question_1_post,question_4_post
3,2021-05-08 21:36:35,days,0,,,,A,,,,,,1,1,1,1,1,1,,,,2,2,2
6,2021-05-08 21:34:43,continuous,1,Yes,Yes,,,,,,,,2,5,1,6,1,4,,,,,,
5,2021-05-08 21:33:05,days,0,,,,A,,,,,,2,6,4,7,3,4,1,,5,1,4,2
2,2021-05-08 21:32:44,,,,,,,,,,,,,,3,3,,,,,,,,
0,2021-05-08 21:31:09,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-08 21:30:50,continuous,0,,,,A,Male,Over 65,1,D,C,2,2,3,2,4,5,1,2,2,2,4,1
4,2021-05-08 21:30:36,,,,,,,,,,,,1,2,,1,,4,,,,,,
6,2021-05-08 21:27:59,continuous,0,,,,,,,,,,1,2,1,1,3,1,,,,,,
5,2021-05-08 21:21:42,,,,,,,,,,,,,1,1,5,1,1,,,,,,
5,2021-05-08 21:20:50,,,,,,,,,,,,7,,6,2,2,2,,,,,,
0,2021-05-08 21:18:42,days,0,,,,,,,,,,5,4,6,6,6,4,,,,,,
"",2021-05-08 21:16:23,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-08 21:15:53,continuous,1,Yes,Yes,,,,,,,,7,7,5,7,2,6,,,,,,
0,2021-05-08 21:12:44,days,0,,,,,,,,,,1,5,,7,5,6,,,,,,
6,2021-05-08 21:12:31,continuous,0,,,,A,Female,45-65,1,C,E,1,1,1,1,1,1,1,1,1,1,1,1
4,2021-05-08 21:11:12,,,,,,,,,,,,So I cannot answer the question without first reading the type that's with the illustration.,,1,1,,3,,,,,,
2,2021-05-08 21:07:18,,,,,,,,,,,,,1,,,3,,,,,,,
0,2021-05-08 21:05:10,days,0,,,,Fuck you,,,,,,1,1,1,1,7,2,,,,,,
6,2021-05-08 20:57:00,continuous,1,Yes,No,Yes,D,Female,Over 65,1,B,A,1,2,1,1,1,,1,1,1,3,1,1
6,2021-05-08 20:55:07,continuous,0,,,,,,,,,,1,1,3,1,3,1,,,,,,
3,2021-05-08 20:54:53,,,,,,,,,,,,,6,7,7,,,,,,,,
6,2021-05-08 20:54:51,days,1,,,,,,,,,,1,2,1,1,4,1,,,,,,
6,2021-05-08 20:52:48,continuous,0,,,,,,,,,,7,7,7,7,7,7,,,,,,
4,2021-05-08 20:51:31,,,,,,,,,,,,7,7,,7,,7,,,,,,
1,2021-05-08 20:50:55,,,,,,,,,,,,,,,,,1,,,,,,
6,2021-05-08 20:47:28,days,1,,,,,,,,,,5,5,7,5,6,4,,,,,,
4,2021-05-08 20:46:53,,,,,,,,,,,,,1,1,1,1,,,,,,,
0,2021-05-08 20:46:45,days,0,,,,You need to send me a link to establish your bonafides before this progresses you are not showing up on Stanford's website.  I've reported you for potential fraud.,,,,,,1,1,1,1,1,1,,,,,,
"",2021-05-08 20:35:26,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-08 20:34:33,continuous,1,Yes,No,,,,,,,,1,7,1,7,1,4,,,,,,
6,2021-05-08 20:30:48,continuous,0,,,,,,,,,,4,7,1,7,1,7,,,,,,
0,2021-05-08 20:30:44,,,,,,,,,,,,,,,,,,,,,,,
2,2021-05-08 20:28:49,,,,,,,,,,,,,,5,,5,,,,,,,
6,2021-05-08 20:24:39,continuous,0,,,,,,,,,,5,5,5,5,5,5,,,,,,
"",2021-05-08 20:20:19,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-08 20:19:19,,,,,,,,,,,,,,,,,,,,,,,
5,2021-05-08 20:17:03,,,,,,,,,,,,,4,4,2,2,1,,,,,,
3,2021-05-08 20:16:02,,,,,,,,,,,,3,,,,,3,,,,,,
2,2021-05-08 20:06:41,,,,,,,,,,,,,,2,1,,,,,,,,
2,2021-05-08 20:01:01,,,,,,,,,,,,6,,6,,,,,,,,,
4,2021-05-08 19:59:12,,,,,,,,,,,,,4,,2,6,5,,,,,,
0,2021-05-08 19:57:33,days,0,,,,D,,,,,,1,7,7,5,1,5,,,,,,for what? I don't see any questions
4,2021-05-08 19:57:22,continuous,1,Yes,No,Yes,B,,,,,,5,6,2,1,5,5,1,1,,,1,1
0,2021-05-08 19:55:24,,,,,,,,,,,,,,,,,,,,,,,
2,2021-05-08 19:54:48,,,,,,,,,,,,1,,,,3,,,,,,,
2,2021-05-08 19:53:42,,,,,,,,,,,,4,,4,,,,,,,,,
"",2021-05-08 19:51:41,,,,,,,,,,,,,,,,,,,,,,,
4,2021-05-08 19:50:57,,,,,,,,,,,,3,,,4,5,3,,,,,,
1,2021-05-08 19:50:28,,,,,,,,,,,,https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=vrct4UXrHO0AX-VS2gW&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=692e05902e23e0ecf0b803d255ce68b9&oe=60BA8BC9,,,,,,,,,,,
"",2021-05-08 19:49:49,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-08 19:49:06,days,0,,,,A,,,,,,1,5,3,5,2,4,,,,,,
0,2021-05-08 19:42:38,,,,,,,,,,,,,,,,,,,,,,,
5,2021-05-08 19:38:49,,,,,,,,,,,,1,4,3,,1,4,,,,,,
6,2021-05-08 19:38:16,continuous,1,Yes,Yes,,,,,,,,7,7,7,1,7,7,,,,,,
0,2021-05-08 19:31:59,continuous,0,,,,,,,,,,1,1,1,1,1,1,,,,,,
0,2021-05-08 19:31:30,,,,,,,,,,,,,,,,,,,,,,,
1,2021-05-08 19:30:31,,,,,,,,,,,,,,,,,2,,,,,,
5,2021-05-08 19:23:41,,,,,,,,,,,,1,6,No,1,1,1,,,,,,
4,2021-05-08 19:22:29,,,,,,,,,,,,1,,1,,3,3,,,,,,
0,2021-05-08 19:17:31,,,,,,,,,,,,,,,,,,,,,,,
2,2021-05-08 19:16:37,,,,,,,,,,,,5,,,5,,,,,,,,
0,2021-05-08 19:13:15,days,0,,,,D,,,,,,3,4,4,5,4,4,,,,,,
3,2021-05-08 19:10:46,,,,,,,,,,,,,1,,,6,6,,,,,,
"",2021-05-08 19:09:56,,,,,,,,,,,,,,,,,,,,,,,
2,2021-05-08 19:07:58,,,,,,,,,,,,2,3,,,,,,,,,,
6,2021-05-08 19:07:42,days,1,,,,,,,,,,6,6,3,6,4,5,,,,,,
5,2021-05-08 19:06:36,,,,,,,,,,,,1,7,,7,1,4,,,,,,
5,2021-05-08 19:06:32,,,,,,,,,,,,5,,4,7,1,5,,,,,,
0,2021-05-08 19:05:25,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-08 19:04:41,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-08 19:03:01,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-08 18:59:40,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-08 18:57:07,days,1,No,,,,,,,,,7,7,1,7,1,7,,,,,,
"",2021-05-08 18:56:44,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-08 18:54:58,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-08 18:54:52,days,1,Yes,Yes,Yes,B,Male,Over 65,1,D,B,6,6,6,6,6,6,2,2,5,6,5,2
0,2021-05-08 18:53:49,days,0,,,,,,,,,,6,7,7,1,7,1,,,,,,
3,2021-05-08 18:50:42,,,,,,,,,,,,,6,4,,,4,,,,,,
5,2021-05-08 18:46:40,,,,,,,,,,,,,4,7,5,3,5,,,,,,
6,2021-05-08 18:45:36,days,1,,,,,,,,,,1,1,4,1,4,1,,,,,,
"",2021-05-08 18:44:52,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-08 18:44:45,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-08 18:43:12,continuous,0,,,,,,,,,,1,1,1,1,1,1,,,,,,
"",2021-05-08 18:42:07,,,,,,,,,,,,,,,,,,,,,,,
2,2021-05-08 18:41:51,,,,,,,,,,,,,1,1,,,,,,,,,
5,2021-05-08 18:39:25,,,,,,,,,,,,1,4,3,,1,4,,,,,,
5,2021-05-08 18:36:19,days,0,,,,https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=JlVGdCzib5MAX838EfB&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=9c59b9148ea373cb4b3c0f04fcb45a05&oe=60BA8BC9,,,,,,6,5,2,5,2,5,4,,3,2,3,2
6,2021-05-08 18:35:13,days,1,,,,,,,,,,1,1,1,1,1,1,,,,,,
0,2021-05-08 18:30:53,continuous,1,Yes,No,Yes,A,,,,,,1,7,1,7,1,1,,,,,,
6,2021-05-08 18:24:51,continuous,0,,,,,,,,,,4,4,4,7,4,4,,,,,,
"",2021-05-08 18:21:26,,,,,,,,,,,,,,,,,,,,,,,
1,2021-05-08 18:20:47,continuous,0,,,,C,,,,,,1,1,1,7,1,1,We know not to believe any body but OWN and News max,,,,,
5,2021-05-08 18:18:38,,,,,,,,,,,,,1,1,1,3,7,,,,,,
1,2021-05-08 18:09:49,continuous,1,https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=JlVGdCzib5MAX8-SiD0&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=9ac8bcdd6a37ee883e27b8068d6f989c&oe=60BA8BC9,Most information is very misleading,https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=JlVGdCzib5MAX8-SiD0&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=9ac8bcdd6a37ee883e27b8068d6f989c&oe=60BA8BC9,C,,,,,,3,3,3,3,3,,Goodbye,,,,,
2,2021-05-08 18:08:09,continuous,1,Yes,Yes,Yes,D,,,,,,4,4,1,1,5,1,,6,,,,3
0,2021-05-08 18:02:03,days,0,,,,A,,,,,,5,4,4,4,2,2,,,,,,
2,2021-05-08 17:58:56,,,,,,,,,,,,,,,,7,7,,,,,,
3,2021-05-08 17:52:47,,,,,,,,,,,,3,,,,1,1,,,,,,
5,2021-05-08 17:52:23,,,,,,,,,,,,,6,7,5,6,7,,,,,,
0,2021-05-08 17:51:46,days,0,,,,,,,,,,1,2,1,5,1,5,,,,,,
0,2021-05-08 17:50:28,days,0,,,,,,,,,,4,4,2,2,1,2,,,,,,
6,2021-05-08 17:49:03,continuous,1,https://scontent.xx.fbcdn.net/v/t1.15752-9/183833461_306011377719173_7544351683888732209_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=58c789&_nc_ohc=tRKWDCVXjo4AX969FIs&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=a7dbc90f7ebd9a1463184ae7d5a8763d&oe=60BAC12E,,,,,,,,,1,3,6,1,1,1,,,,,,
6,2021-05-08 17:47:49,continuous,1,Yes,No,Yes,A,Male,18-29,1,C,B,1,2,5,1,2,2,4,5,6,4,6,6
"",2021-05-08 17:47:45,,,,,,,,,,,,,,,,,,,,,,,
3,2021-05-08 17:46:58,,,,,,,,,,,,1,1,1,,,,,,,,,
0,2021-05-08 17:43:59,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-08 17:40:40,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-08 17:39:49,,,,,,,,,,,,,,,,,,,,,,,
5,2021-05-08 17:39:40,,,,,,,,,,,,4,,7,7,4,7,,,,,,
6,2021-05-08 17:39:05,days,1,,,,,,,,,,6,6,3,6,1,3,,,,,,
5,2021-05-08 17:37:51,,,,,,,,,,,,1,,1,1,1,1,,,,,,
5,2021-05-08 17:36:09,,,,,,,,,,,,6,6,,6,6,6,,,,,,
1,2021-05-08 17:32:36,,,,,,,,,,,,,,5,,,,,,,,,
1,2021-05-08 17:31:25,,,,,,,,,,,,,,6,,,,,,,,,
6,2021-05-08 17:29:23,days,1,,,,,,,,,,1,3,6,7,1,5,,,,,,
5,2021-05-08 17:29:23,,,,,,,,,,,,1,,2,1,6,1,,,,,,
6,2021-05-08 17:29:12,continuous,0,,,,,,,,,,1,1,1,1,1,1,,,,,,
0,2021-05-08 17:25:22,continuous,0,,,,D,,,,,,1,1,1,5,1,1,,,,,,
"",2021-05-08 17:24:43,,,,,,,,,,,,,,,,,,,,,,,
4,2021-05-08 17:12:56,,,,,,,,,,,,2,1,6,4,5,4,,,,,,
6,2021-05-08 17:08:47,days,1,,,,,,,,,,1,,5,7,1,1,,,,,,
6,2021-05-08 17:04:35,days,1,No,Yes,,C,,,,,,5,6,7,7,6,7,,,,,,
"",2021-05-08 16:57:29,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-08 16:54:59,days,1,,,,,,,,,,5,3,4,6,1,5,,,,,,
"",2021-05-08 16:53:16,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-08 16:53:06,days,0,,,,,,,,,,7,7,2,7,2,,,,,,,
3,2021-05-08 16:47:59,,,,,,,,,,,,7,,7,7,,,,,,,,
1,2021-05-08 16:46:35,,,,,,,,,,,,,,1,Stop,,,,,,,,
5,2021-05-08 16:45:55,,,,,,,,,,,,7,7,7,,7,4,,,,,,
"",2021-05-08 16:41:46,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-08 16:38:42,,,,,,,,,,,,,,,,,,,,,,,
4,2021-05-08 16:32:45,,,,,,,,,,,,1,2,2,,,4,,,,,,
5,2021-05-08 16:30:24,,,,,,,,,,,,7,7,7,7,,3,,,,,,
0,2021-05-08 16:25:31,days,0,,,,,,,,,,3,3,2,7,1,3,,,,,,
4,2021-05-08 16:20:32,,,,,,,,,,,,1,1,1,,4,,,,,,,
6,2021-05-08 16:18:17,continuous,0,,,,,,,,,,7,7,7,7,7,7,,,,,,
3,2021-05-08 16:15:17,,,,,,,,,,,,3,3,,,,,,,,,,
6,2021-05-08 16:13:41,days,1,Yes,No,,A,,,,,,4,4,4,3,4,4,,,,,,
6,2021-05-08 16:10:57,continuous,0,,,,,,,,,,1,6,4,7,1,1,,,,,,
"",2021-05-08 16:10:42,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-08 16:09:28,continuous,1,Yes,Yes,,,,,,,,7,7,7,7,7,6,,,,,,
0,2021-05-08 16:07:07,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-08 16:06:27,,,,,,,,,,,,,,,,,,,,,,,
3,2021-05-08 16:05:30,,,,,,,,,,,,1,1,,1,,,,,,,,
2,2021-05-08 16:03:28,,,,,,,,,,,,It’s so small I can’t read it so I won’t share it,,3,,,,,,,,,
2,2021-05-08 16:02:26,,,,,,,,,,,,7,,,,,7,,,,,,
6,2021-05-08 16:01:18,continuous,0,,,,,,,,,,1,4,4,3,1,4,,,,,,
6,2021-05-08 16:00:45,continuous,1,No,Yes,,,,,,,,3,4,6,4,6,6,,,,,,
5,2021-05-08 15:59:08,,,,,,,,,,,,7,7,7,,7,7,,,,,,
0,2021-05-08 15:58:58,days,0,,,,,,,,,,2,6,7,6,1,5,,,,,,
0,2021-05-08 15:57:23,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-08 15:56:44,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-08 15:55:31,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-08 15:55:16,days,0,,,,B,,,,,,1,2,2,1,2,1,,,,,,
0,2021-05-08 15:52:25,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-08 15:51:58,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-08 15:50:58,days,0,,,,D,,,,,,1,7,2,1,7,1,,,,,,
5,2021-05-08 15:48:40,,,,,,,,,,,,3,1,3,,3,1,,,,,,
0,2021-05-08 15:47:57,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-08 15:46:58,days,1,,,,,,,,,,7,1,7,7,7,7,,,,,,
"",2021-05-08 15:46:46,,,,,,,,,,,,,,,,,,,,,,,
2,2021-05-08 15:46:09,,,,,,,,,,,,,2,2,,,,,,,,,
6,2021-05-08 15:45:43,continuous,1,Yes,No,,Who cares,,,,,,2,3,2,4,2,2,,,,,,
5,2021-05-08 15:43:02,,,,,,,,,,,,1,1,1,1,1,,,,,,,
1,2021-05-08 15:40:09,,,,,,,,,,,,3,,"I will you too remove this from my message board, please.",,,,,,,,,
0,2021-05-08 15:39:19,,,,,,,,,,,,,,,,,,,,,,,
1,2021-05-08 15:38:43,,,,,,,,,,,,1,,,,,,,,,,,
0,2021-05-08 15:37:05,days,0,,,,,,,,,,1,1,2,7,1,3,,,,,,
6,2021-05-08 15:36:26,continuous,1,Yes,Yes,,Your post is just as fake.,,,,,,1,1,1,7,1,1,,,,,,
3,2021-05-08 15:36:06,,,,,,,,,,,,,,,1,6,3,,,,,,
6,2021-05-08 15:35:15,continuous,1,Yes,,,,,,,,,1,1,1,1,1,1,,,,,,
0,2021-05-08 15:35:04,days,0,,,,,,,,,,1,1,2,3,3,1,,,,,,
"",2021-05-08 15:34:46,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-08 15:33:39,days,0,,,,,,,,,,1,1,1,7,7,5,,,,,,
2,2021-05-08 15:31:01,,,,,,,,,,,,,,,6,6,,,,,,,
0,2021-05-08 15:30:12,days,0,,,,I'm not interested. Thank you.,,,,,,7,7,1,7,1,1,,,,STOP BOTHERING ME!!!,,
6,2021-05-08 15:29:50,continuous,1,,,,,,,,,,1,4,3,3,1,1,,,,,,
4,2021-05-08 15:29:38,,,,,,,,,,,,4,4,7,,,7,,,,,,
6,2021-05-08 15:29:07,continuous,0,,,,,,,,,,1,7,7,1,5,5,,,,,,
6,2021-05-08 15:27:38,days,1,,,,,,,,,,1,4,7,7,4,4,,,,,,
6,2021-05-08 15:27:30,continuous,0,,,,,,,,,,1,1,1,4,1,1,,,,,,
0,2021-05-08 15:26:58,,,,,,,,,,,,,,,,,,,,,,,
5,2021-05-08 15:25:44,,,,,,,,,,,,,3,2,5,2,4,,,,,,
0,2021-05-08 15:25:38,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-08 15:25:37,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-08 15:24:40,days,1,,,,,,,,,,1,1,1,1,7,6,,,,,,
0,2021-05-08 15:24:32,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-08 15:23:31,days,0,,,,,,,,,,1,3,3,1,4,2,,,,,,
0,2021-05-08 15:23:16,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-08 15:22:14,,,,,,,,,,,,,,,,,,,,,,,
5,2021-05-08 15:18:42,,,,,,,,,,,,1,1,1,1,,1,,,,,,
0,2021-05-08 15:18:17,,,,,,,,,,,,,,,,,,,,,,,
2,2021-05-08 15:17:14,,,,,,,,,,,,,7,,7,,,,,,,,
3,2021-05-08 15:16:59,,,,,,,,,,,,5,,,1,6,,,,,,,
1,2021-05-08 15:16:48,,,,,,,,,,,,5,,,,,,,,,,,
2,2021-05-08 15:14:40,,,,,,,,,,,,4,,,,4,,,,,,,
"",2021-05-08 15:14:29,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-08 15:14:07,,,,,,,,,,,,,,,,,,,,,,,
3,2021-05-08 15:12:47,,,,,,,,,,,,1,,,,1,1,,,,,,
4,2021-05-08 15:12:32,,,,,,,,,,,,6,5,5,1,,,,,,,,
"",2021-05-08 15:12:29,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-08 15:12:09,continuous,0,,,,,,,,,,1,7,1,7,1,7,,,,,,
4,2021-05-08 15:09:55,,,,,,,,,,,,4,,,4,4,5,,,,,,
6,2021-05-08 15:07:39,continuous,0,,,,,,,,,,5,4,1,5,6,4,,,,,,
6,2021-05-08 15:06:31,days,0,,,,B,Male,Over 65,1,C,A,1,1,1,1,1,1,1,1,1,1,1,1
0,2021-05-08 15:06:05,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-08 15:05:54,continuous,1,Done,,,,,,,,,1,1,1,4,1,1,,,,,,
0,2021-05-08 15:04:14,days,0,,,,,,,,,,5,5,6,5,1,5,,,,,,
0,2021-05-08 15:03:39,continuous,1,Yes,No,Yes,D,,,,,,7,7,7,7,4,5,,,,,,
5,2021-05-08 15:03:04,continuous,1,Yes,No,No,A,,,,,,6,6,6,7,5,3,3,5,,5,1,4
0,2021-05-08 15:02:59,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-08 14:59:49,days,0,,,,,,,,,,1,4,3,4,1,1,,,,,,
0,2021-05-08 14:59:10,,,,,,,,,,,,,,,,,,,,,,,
1,2021-05-08 14:57:20,,,,,,,,,,,,,,4,,,,,,,,,
0,2021-05-08 14:56:56,continuous,1,Yes,,,,,,,,,1,7,6,7,1,6,,,,,,
6,2021-05-08 14:56:54,days,1,,,,,,,,,,7,7,7,7,7,7,,,,,,
"",2021-05-08 14:51:15,,,,,,,,,,,,,,,,,,,,,,,
2,2021-05-08 14:51:14,,,,,,,,,,,,,7,,4,,,,,,,,
4,2021-05-08 14:51:02,,,,,,,,,,,,,,5,5,5,5,,,,,,
0,2021-05-08 14:50:50,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-08 14:49:15,,,,,,,,,,,,,,,,,,,,,,,
3,2021-05-08 14:47:00,,,,,,,,,,,,,3,,2,2,,,,,,,
0,2021-05-08 14:46:39,days,0,,,,,,,,,,1,4,7,1,1,2,,,,,,
"",2021-05-08 14:40:28,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-08 14:35:13,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-08 14:35:11,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-08 14:28:32,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-08 14:26:14,days,0,,,,,,,,,,1,7,1,7,1,7,,,,,,
2,2021-05-08 14:26:01,,,,,,,,,,,,,,4,,1,,,,,,,
0,2021-05-08 14:25:43,,,,,,,,,,,,,,,,1,,,,,,,
2,2021-05-08 14:22:12,,,,,,,,,,,,7,7,,,,,,,,,,
3,2021-05-08 14:21:32,,,,,,,,,,,,2,3,6,1,6,1,,,,,,
0,2021-05-08 14:20:37,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-08 14:18:44,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-08 14:17:28,days,0,,,,,,,,,,7,7,7,7,4,7,,,,,,
1,2021-05-08 14:13:50,,,,,,,,,,,,,,,,4,,,,,,,
6,2021-05-08 14:11:44,continuous,1,Yes,No,Yes,C,Male,Over 65,1,D,D,7,7,7,7,7,7,7,7,7,7,1,7
"",2021-05-08 14:10:43,,,,,,,,,,,,,,,,,,,,,,,
5,2021-05-08 14:10:32,,,,,,,,,,,,1,,,1,3,1,,,,,,
"",2021-05-08 14:09:14,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-08 14:09:12,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-08 14:08:02,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-08 14:04:51,continuous,1,Yes,No,No,A,Male,45-65,1,C,B,1,3,2,1,1,3,1,3,3,3,1,2
4,2021-05-08 14:02:29,,,,,,,,,,,,4,,4,5,,2,,,,,,
6,2021-05-08 14:01:57,days,1,,,,,,,,,,1,7,7,1,1,5,,,,,,
5,2021-05-08 14:01:21,,,,,,,,,,,,6,,6,7,6,6,,,,,,
0,2021-05-08 13:58:24,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-08 13:58:14,continuous,1,Yes,Yes,Yes,A,,,,,,2,7,7,7,7,7,,,,,,
1,2021-05-08 13:57:30,,,,,,,,,,,,,4,,,,,,,,,,
6,2021-05-08 13:57:29,,,,,,,,,,,,if it is NBC CNN CBS ABC waPo NYT MSNBC or CNN  it is fake,2,1,1,1,1,,,,,,
0,2021-05-08 13:55:48,continuous,0,,,,,,,,,,1,3,1,7,1,2,,,,,,
0,2021-05-08 13:49:16,days,0,,,,,,,,,,7,7,1,7,1,7,,,,,,
0,2021-05-08 13:49:14,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-08 13:48:37,days,0,,,,,,,,,,1,1,4,6,1,1,,,,,,
1,2021-05-08 13:48:29,,,,,,,,,,,,,,,4,,,,,,,,
3,2021-05-08 13:47:50,,,,,,,,,,,,,1,,1,1,,,,,,,
0,2021-05-08 13:47:39,days,0,,,,,,,,,,6,4,7,2,7,5,,,,,,
2,2021-05-08 13:47:20,,,,,,,,,,,,,3,,,,5,,,,,,
0,2021-05-08 13:46:58,,,,,,,,,,,,,,,,,,,,,,,
2,2021-05-08 13:45:03,,,,,,,,,,,,1,1,,,,,,,,,,
1,2021-05-08 13:44:02,,,,,,,,,,,,"I cant see it, too small",,,,,,,,,,,
6,2021-05-08 13:43:29,continuous,0,,,,,,,,,,1,1,1,6,1,3,,,,,,
"",2021-05-08 13:42:51,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-08 13:40:38,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-08 13:38:51,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-08 13:38:08,,,,,,,,,,,,,,,,,,,,,,,
4,2021-05-08 13:37:07,,,,,,,,,,,,2,5,4,,,1,,,,,,
5,2021-05-08 13:36:04,,,,,,,,,,,,1,5,1,1,3,,,,,,,
5,2021-05-08 13:33:06,,,,,,,,,,,,,1,1,1,1,1,,,,,,
0,2021-05-08 13:33:02,,,,,,,,,,,,,,,,,,,,,,,
2,2021-05-08 13:29:20,,,,,,,,,,,,,,4,,1,,,,,,,
6,2021-05-08 13:29:06,continuous,0,,,,,,,,,,1,1,3,3,1,2,,,,,,
0,2021-05-08 13:27:39,days,0,,,,,,,,,,1,5,1,4,3,5,,,,,,
"",2021-05-08 13:23:05,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-08 13:22:58,days,0,,,,,,,,,,1,1,1,2,3,1,,,,,,
1,2021-05-08 13:21:52,,,,,,,,,,,,3,,,,,,,,,,,
6,2021-05-08 13:21:43,continuous,1,No,LOL,,stop,,,,,,1,1,1,6,1,2,,,,,,
5,2021-05-08 13:21:38,,,,,,,,,,,,7,,5,1,5,7,,,,,,
1,2021-05-08 13:21:35,,,,,,,,,,,,,,,,5,,,,,,,
1,2021-05-08 13:19:36,,,,,,,,,,,,4,7,7,7,7,7,,,,,,
"",2021-05-08 13:16:30,,,,,,,,,,,,,,,,,,,,,,,
4,2021-05-08 13:14:57,,,,,,,,,,,,7,,7,1,7,,,,,,,
0,2021-05-08 13:14:13,days,0,,,,,,,,,,1,7,5,4,4,4,,,,,,
"",2021-05-08 13:11:55,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-08 13:11:53,continuous,0,,,,,,,,,,1,2,1,7,1,1,,,,,,
1,2021-05-08 13:11:01,,,,,,,,,,,,,,,3,,,,,,,,
1,2021-05-08 13:10:41,,,,,,,,,,,,,,,,,2,,,,,,
1,2021-05-08 13:10:39,,,,,,,,,,,,,,5,,,,,,,,,
0,2021-05-08 13:10:24,,,,,,,,,,,,,,,,,,,,,,,
2,2021-05-08 13:08:35,,,,,,,,,,,,4,,,1,,,,,,,,
4,2021-05-08 13:07:31,,,,,,,,,,,,1,3,1,,,1,,,,,,
2,2021-05-08 13:01:54,,,,,,,,,,,,,,4,,,4,,,,,,
1,2021-05-08 13:00:08,,,,,,,,,,,,,,,,,2,,,,,,
