seen_total,last seen,survey_type,engagement,engagement_1,engagement_2,engagement_3,quiz_answer,demo_gender,demo_age,demo_asked,demo_school,demo_media,question_2_pre,question_6_pre,question_4_pre,question_1_pre,question_3_pre,question_5_pre,question_2_post,question_3_post,question_6_post,question_5_post,question_1_post,question_4_post
6,2021-05-11 16:26:19,continuous,0,,,,,,,,,,1,2,3,2,2,2,,,,,,
0,2021-05-11 16:24:48,,,,,,,,,,,,,,,,,,,,,,,
1,2021-05-11 16:23:10,,,,,,,,,,,,,,,,1,,,,,,,
0,2021-05-11 16:23:02,continuous,1,No,Yes,No,A,,,,,,1,2,3,3,2,2,,,,,,
0,2021-05-11 16:21:35,,,,,,,,,,,,,https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=vrct4UXrHO0AX8TapWA&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=ae5339f2bc2a9f0631d61e6f3908b664&oe=60BE8049,,,,,,,,,,
0,2021-05-11 16:17:49,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-11 16:17:33,continuous,1,Yes,No,,,,,,,,1,4,1,1,5,2,,,,,,
6,2021-05-11 16:17:28,continuous,1,Yes,Yes,,,,,,,,1,7,1,7,1,4,,,,,,
"",2021-05-11 16:16:51,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-11 16:16:42,continuous,1,Yes,Yes,Yes,C,,,,,,3,4,7,7,1,1,,,,,,
6,2021-05-11 16:15:04,continuous,1,Yes,Yes,,,,,,,,1,1,1,4,1,3,,,,,,
"",2021-05-11 16:14:08,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-11 16:12:55,continuous,0,,,,,,,,,,1,2,3,1,3,1,,,,,,
6,2021-05-11 16:09:48,continuous,1,Yes,,,,,,,,,1,4,4,7,7,5,,,,,,
0,2021-05-11 16:07:55,days,0,,,,,,,,,,1,3,1,1,7,1,,,,,,
0,2021-05-11 16:07:38,,,,,,,,,,,,,,,,,,,,,,,
1,2021-05-11 16:05:50,,,,,,,,,,,,,,,1,,,,,,,,
6,2021-05-11 16:05:12,continuous,0,,,,,,,,,,3,4,5,2,3,3,,,,,,
6,2021-05-11 16:04:50,continuous,1,,,,,,,,,,1,1,3,1,6,2,,,,,,
0,2021-05-11 16:04:47,continuous,1,Yes,No,Yes,B,,,,,,3,3,4,3,2,2,,,,,,
0,2021-05-11 16:04:37,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-11 16:04:17,continuous,0,,,,,,,,,,5,2,2,1,2,1,,,,,,
0,2021-05-11 16:03:48,continuous,1,Yes,No,Yes,A,,,,,,2,4,2,1,6,4,,,,,,
6,2021-05-11 16:03:23,days,1,Yes,Yes,,C,,,,,,1,3,3,4,4,4,,,,,,
6,2021-05-11 15:59:20,continuous,0,,,,Climate Change is not a debate.,,,,,,1,3,5,1,5,1,,,,,,
"",2021-05-11 15:58:52,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-11 15:58:08,continuous,0,,,,,,,,,,4,5,4,4,5,4,,,,,,
0,2021-05-11 15:58:05,,,,,,,,,,,,,,,,,,,,,,,
1,2021-05-11 15:57:58,,,,,,,,,,,,,,5,,,,,,,,,
0,2021-05-11 15:57:57,continuous,1,Yes,Yes,Yes,B,,,,,,1,3,1,1,1,3,,,,,,
1,2021-05-11 15:57:50,,,,,,,,,,,,,,"I really don't want to share a post for anyone, about anything. Didn't realize that's what this was about. Let's end this now. Thanks.",,6,,,,,,,
6,2021-05-11 15:57:00,continuous,0,,,,,,,,,,1,4,4,4,4,5,,,,,,
6,2021-05-11 15:56:35,days,0,,,,https://cdn.fbsbx.com/v/t59.3654-21/185020565_216019453354869_8901533957587313180_n.mp4/audioclip-1620748594000-25937.mp4?_nc_cat=100&ccb=1-3&_nc_sid=7272a8&_nc_ohc=1CoJmUU_0OQAX8DiC-K&_nc_ht=cdn.fbsbx.com&oh=1747ec9e1c2f11a2afea6faccca5b0a9&oe=609C8B39,,,,,,5,7,7,1,7,1,,,,,,
0,2021-05-11 15:54:02,,,,,,,,,,,,1,4,7,1,7,,,,,,,
1,2021-05-11 15:52:03,,,,,,,,,,,,,,,1,,,,,,,,
5,2021-05-11 15:51:54,,,,,,,,,,,,1,1,1,5,1,,,,,,,
2,2021-05-11 15:49:52,,,,,,,,,,,,,,4,1,,,,,,,,
6,2021-05-11 15:48:03,continuous,1,Yes,,,,,,,,,6,5,4,5,5,6,,,,,,
5,2021-05-11 15:47:08,,,,,,,,,,,,,5,3,2,2,4,,,,,,
6,2021-05-11 15:46:50,days,0,,,,Stop,,,,,,1,1,1,1,1,1,,,,,,
6,2021-05-11 15:45:54,continuous,0,,,,,,,,,,1,4,4,1,7,1,,,,,,
0,2021-05-11 15:45:38,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-11 15:45:35,continuous,0,,,,,,,,,,4,4,1,1,6,4,,,,,,
0,2021-05-11 15:45:07,,,,,,,,,,,,,,,Is there compensation?,,,,,,,,
"",2021-05-11 15:45:02,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-11 15:44:35,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-11 15:44:17,continuous,1,Yes,Yes,No,C,Male,45-65,1,C,C,1,1,4,1,1,1,1,,1,1,1,1
6,2021-05-11 15:44:03,continuous,0,,,,,,,,,,1,3,1,5,1,2,,,,,,
1,2021-05-11 15:42:09,,,,,,,,,,,,,3,7,,,,,,,,,
0,2021-05-11 15:41:20,continuous,1,Yes,No,Yes,D,,,,,,7,4,4,7,7,2,,,,,,
2,2021-05-11 15:40:36,,,,,,,,,,,,1,,,,,1,,,,,,
6,2021-05-11 15:39:41,continuous,0,,,,,,,,,,1,1,1,1,2,1,,,,,,
6,2021-05-11 15:39:28,days,1,Yes,Yes,,D,,,,,,3,5,5,7,1,5,,,,,,
0,2021-05-11 15:35:43,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-11 15:35:29,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-11 15:34:02,,,,,,,,,,,,7,2,7,7,1,7,,,,,,
0,2021-05-11 15:33:59,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-11 15:33:57,,,,,,,,,,,,,1,,4,1,1,,,,,,
